division,name,city,gender,age,official,bib,overall,state,genderdiv,net,country
2        / 32,"Nietlispach, Franz",Zeiningen,M,43,91.37,W1,2        / 35,,2        / 29,91.37,SUI
1        / 3254,"Ndereba, Catherine",Nairobi,F,28,143.88,F1,27       / 13408,,1        / 4814,143.88,KEN
15       / 3945,"Lagat, Elijah",Nandi District,M,34,137.98,1,17       / 13408,,17       / 8594,137.98,KEN
14       / 3945,"Abera, Gezahegne",Addis Ababa,M,22,137.07,2,16       / 13408,,16       / 8594,137.07,ETH
3        / 32,"Frei, Heinz",Etziken,M,43,91.97,W2,3        / 35,,3        / 29,91.97,SUI
5        / 3254,"Roba, Fatuma",Addis Ababa,F,27,148.13,F2,42       / 13408,,5        / 4814,148.13,ETH
10       / 3945,"Tanui, Moses",Eldoret,M,35,135.08,3,12       / 13408,,12       / 8594,135.08,KEN
1        / 32,"Van Dyk, Ernst F.",Stellenbosch,M,28,85.20,W3,1        / 35,,1        / 29,85.20,RSA
4        / 3254,"Kiplagat, Lornah",Eldoret,F,26,147.93,F3,41       / 13408,,4        / 4814,147.93,KEN
5        / 32,"Schabort, Krige",Cedartown,M,37,97.02,W4,5        / 35,GA,5        / 29,97.02,USA
7        / 3254,"Petrova, Ludmila",Novo Cheboksary,F,32,149.38,F4,48       / 13408,,7        / 4814,149.38,RUS
1        / 3945,"Lee, Bong-Ju",Seoul,M,30,129.72,4,1        / 13408,,1        / 8594,129.72,KOR
7        / 32,"Fairbank, Pierre",Narbonne,M,29,99.55,W5,7        / 35,,7        / 29,99.55,FRA
3        / 3254,"Morgunova, Lyubov",Moscow,F,30,147.30,F5,38       / 13408,,3        / 4814,147.30,RUS
25       / 3945,"Nakazaki, Yukinobu",Tama-Shi,M,31,145.02,6,30       / 13408,,29       / 8594,145.02,JPN
10       / 32,"Mueller, Guido","Unterkulm, CH",M,41,106.43,W6,10       / 35,,10       / 29,106.43,SUI
8        / 3254,"Yanan, Wei",Liaoning,F,20,149.87,F6,50       / 13408,,8        / 4814,149.87,CHN
20       / 32,"Ferchl, Gottfried",Neustift,M,30,114.95,W7,20       / 35,,18       / 29,114.95,AUT
18       / 3945,"Ogura, Makoto",Hiroshima-Shi,M,28,140.40,7,20       / 13408,,20       / 8594,140.40,JPN
12       / 3254,"Shujing, Zhang",Liaoning,F,22,153.72,F7,71       / 13408,,12       / 4814,153.72,CHN
10       / 3254,"Tanabe, Kaori",Mie-Ken,F,25,151.52,F8,60       / 13408,,10       / 4814,151.52,JPN
4        / 32,"Mendoza, Saul",Warm Springs,M,34,92.08,W8,4        / 35,GA,4        / 29,92.08,USA
13       / 3945,"Kororia, Shem","Kapsokwong, Kitale",M,28,137.03,8,15       / 13408,,15       / 8594,137.03,KEN
8        / 32,"Hiromichi, Jun","Hayami, Oita",M,27,102.55,W9,8        / 35,,8        / 29,102.55,JPN
2        / 3254,"Sobanska, Malgorzata",Poznan,F,31,146.70,F9,36       / 13408,,2        / 4814,146.70,POL
19       / 3945,"Morris, David",Albuquerque,M,30,141.17,9,21       / 13408,NM,21       / 8594,141.17,USA
6        / 3945,"De Haven, Rod",Madison,M,34,132.68,10,6        / 13408,WI,6        / 8594,132.68,USA
6        / 32,"Smith, Kelly W.",Vancouver,M,36,98.58,W10,6        / 35,BC,6        / 29,98.58,CAN
6        / 3254,"Timofeyeva, Irina",Cheboksary,F,31,148.83,F10,43       / 13408,,6        / 4814,148.83,RUS
17       / 3945,"Coogan, Mark",Attleboro,M,34,138.97,11,19       / 13408,MA,19       / 8594,138.97,USA
9        / 32,"Nunnari, Paul O.","Catherine Field, NSW",M,28,105.47,W11,9        / 35,,9        / 29,105.47,AUS
9        / 3254,"Genovese, Bruna",Volpago Del Montello,F,24,150.65,F12,52       / 13408,,9        / 4814,150.65,ITA
12       / 3945,"Cox, Josh",El Cajon,M,25,136.28,12,14       / 13408,CA,14       / 8594,136.28,USA
12       / 32,"Filteau, Michel",St Jean Baptiste,M,34,106.73,W12,12       / 35,PQ,12       / 29,106.73,CAN
2        / 3945,"Guerra, Silvio",Quito,M,32,130.12,14,2        / 13408,,2        / 8594,130.12,ECU
11       / 3254,"Galliamova, Albina",Albuquerque,F,36,152.75,F14,64       / 13408,NM,11       / 4814,152.75,USA
4        / 3945,"Kiptum Busienei, David",Kabiet,M,26,131.78,15,4        / 13408,,4        / 8594,131.78,KEN
13       / 32,"Iniguez, Tony",Aurora,M,30,106.98,W15,13       / 35,IL,13       / 29,106.98,USA
3        / 3945,"Chelang'a, Joshua",Baringo,M,28,130.48,16,3        / 13408,,3        / 8594,130.48,KEN
9        / 3945,"Cherigat, Timothy",Chepkorio,M,24,134.35,17,10       / 13408,,10       / 8594,134.35,KEN
30       / 3945,"Mpholo, Simon",Port Elizabeth,M,25,146.68,18,35       / 13408,,34       / 8594,146.68,RSA
26       / 32,"Klaey, Max",Bern,M,58,126.57,W18,26       / 35,,22       / 29,126.57,SUI
8        / 3945,"Fika, Makhosonke",Cape Town,M,29,134.22,19,9        / 13408,,9        / 8594,134.22,RSA
17       / 32,"Ayari, Kamel",Huntington,M,32,113.57,W19,17       / 35,NY,17       / 29,113.57,USA
15       / 32,"Bleakney, Adam W.",Savoy,M,25,107.07,W20,15       / 35,IL,15       / 29,107.07,USA
7        / 3945,"Nkete, Laban",Port Elizabeth,M,30,132.73,20,7        / 13408,,7        / 8594,132.73,RSA
16       / 32,"Byers, Tyler G.",Tucson,M,18,113.42,W21,16       / 35,AZ,16       / 29,113.42,USA
23       / 32,"Schmoll, Markus",Guntramsdorf,M,31,122.33,W22,23       / 35,,21       / 29,122.33,AUT
16       / 3945,"Moeketsana, Motsehi",Colleen Glen,M,31,138.22,22,18       / 13408,,18       / 8594,138.22,RSA
22       / 32,"Bermudez, Ramiro",Houston,M,41,121.53,W24,22       / 35,TX,20       / 29,121.53,USA
29       / 3945,"De Highden, Roderic",Victoria,M,32,146.55,24,34       / 13408,,33       / 8594,146.55,AUS
11       / 32,"Davis, Keith N.",Pacific Palisades,M,28,106.70,W25,11       / 35,CA,11       / 29,106.70,USA
49       / 3945,"Gezahegne Yimer, Abebe",Addis Ababa,M,20,152.95,25,67       / 13408,,56       / 8594,152.95,ETH
20       / 3945,"Kim, Je-Kyung",Yongin-City,M,23,141.42,26,22       / 13408,,22       / 8594,141.42,KOR
21       / 32,"Johnson, Chad B.",Muncie,M,25,119.93,W27,21       / 35,IN,19       / 29,119.93,USA
14       / 32,"Nogueira, Tony",Glen Ridge,M,33,107.00,W28,14       / 35,NJ,14       / 29,107.00,USA
30       / 32,"Maldonado, Gary",Chicago,M,29,144.32,W29,30       / 35,IL,26       / 29,144.32,USA
2        / 3,"Beaudoin, Andre",Montreal,M,42,149.62,W30,33       / 35,PQ,28       / 29,149.62,CAN
27       / 32,"Doak, Patrick A.",Cumming,M,33,126.82,W31,27       / 35,GA,23       / 29,126.82,USA
28       / 32,"Kelly, Timothy",Weymouth,M,34,128.10,W33,28       / 35,MA,24       / 29,128.10,USA
26       / 3945,"Hibell, Jamie A.",Easton,M,29,145.28,34,31       / 13408,PA,30       / 8594,145.28,USA
